"순위","이름","타율","게임수","타석","타수","득점","총안타","1루타","2루타","3루타","홈런","루타","타점","도루","도실 (도루자)","희타","희비","볼넷","고의 4구","사구","삼진","병살","장타율","출루율","도루 성공률","멀티 히트","OPS","BB/K","장타/안타"
"1","백동진(57)","0.545","4","12","11","4","6","6","0","0","0","6","6","0","0","0","0","0","0","1","1","0","0.545","0.583","0.000","2","1.128","0.00","0.000"
"2","박석준(62)","0.458","10","33","24","11","11","7","3","0","1","17","11","4","0","0","0","7","0","2","2","0","0.708","0.606","1.000","3","1.314","3.50","0.364"
"3","이준백(100)","0.444","5","12","9","2","4","4","0","0","0","4","2","4","0","0","1","2","0","0","2","0","0.444","0.500","1.000","1","0.944","1.00","0.000"
"3","오세윤(99)","0.444","5","18","18","7","8","6","2","0","0","10","7","3","0","0","0","0","0","0","2","0","0.556","0.444","1.000","3","1.000","0.00","0.250"
"4","노주영(52)","0.429","4","16","14","5","6","4","2","0","0","8","3","1","0","0","0","2","0","0","2","0","0.571","0.500","1.000","2","1.071","1.00","0.333"
"5","이상범(3)","0.417","10","18","12","6","5","3","2","0","0","7","4","6","0","0","0","6","0","0","4","0","0.583","0.611","1.000","1","1.194","1.50","0.400"
"6","류재열(6)","0.400","2","6","5","3","2","2","0","0","0","2","2","1","0","0","0","1","0","0","0","0","0.400","0.500","1.000","1","0.900","0.00","0.000"
"7","강현찬(51)","0.381","8","24","21","7","8","8","0","0","0","8","7","7","0","0","0","1","1","2","4","0","0.381","0.458","1.000","2","0.839","0.25","0.000"
"8","정종민(97)","0.370","11","34","27","12","10","5","4","0","1","17","11","5","0","0","0","5","0","2","6","0","0.630","0.500","1.000","3","1.130","0.83","0.500"
"8","이재익(36)","0.370","11","37","27","13","10","6","2","1","1","17","11","9","0","0","1","5","1","4","9","0","0.630","0.514","1.000","3","1.144","0.56","0.400"
"9","이상윤(31)","0.286","8","11","7","3","2","2","0","0","0","2","3","3","0","0","0","4","0","0","1","0","0.286","0.545","1.000","0","0.831","4.00","0.000"
"10","조문제(17)","0.167","10","33","24","12","4","4","0","0","0","4","3","8","1","0","0","9","0","0","7","0","0.167","0.394","0.889","1","0.561","1.29","0.000"
"10","조인택(89)","0.167","8","15","12","4","2","2","0","0","0","2","3","0","0","0","0","2","0","1","5","0","0.167","0.333","0.000","0","0.500","0.40","0.000"
"11","한승재(16)","0.143","2","7","7","1","1","1","0","0","0","1","2","2","0","0","0","0","0","0","2","0","0.143","0.143","1.000","0","0.286","0.00","0.000"
"12","정장일(10)","0.000","7","13","8","3","0","0","0","0","0","0","2","2","0","0","0","3","0","1","5","0","0.000","0.333","1.000","0","0.333","0.60","0"
"1","장창환(29)","0.500","4","2","2","0","1","0","1","0","0","2","1","0","0","0","0","0","0","0","0","0","1.000","0.500","0.000","0","1.500","0.00","1.000"
"2","황선주(71)","0.200","3","5","5","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0.200","0.200","0.000","0","0.400","0.00","0.000"
"3","민동인(92)","0.000","3","3","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0.000","0.333","0.000","0","0.333","1.00","0"
"3","이재영(42)","0.000","3","5","4","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0.000","0.200","1.000","0","0.200","1.00","0"
"3","배요한(21)","0.000","3","5","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0.000","0.200","1.000","0","0.200","0.00","0"
